,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,75,807,64,55,1,7,4,6,1,3,γιαούρτι,γιόγκα,γείτονες,σπίτι,,Yes,,Yes
1,1,2025-09-01T10:00:00,146,1433,57,56,4,3,5,1,6,5,ψωμί,τέννις,συγγενείς,σπίτι,,,,
2,2,2025-09-01T12:00:00,108,1495,37,33,7,6,2,5,3,3,γιαούρτι,γιόγκα,ξένοι,σπίτι,,Yes,,Yes
3,3,2025-09-01T14:00:00,103,437,48,63,2,4,6,3,5,2,βρώμη,ποδήλατο,συγγενείς,γραφείο,,,,
4,4,2025-09-01T16:00:00,145,1500,56,65,3,5,5,4,6,6,βρώμη,γκολφ,συγγενείς,δρόμος,,,,
5,5,2025-09-01T18:00:00,77,985,54,52,6,3,5,5,4,4,φρούτο,περπάτημα,φίλοι,δρόμος,Yes,,Yes,
6,6,2025-09-01T20:00:00,125,685,58,64,1,3,1,7,2,6,ψωμί,περπάτημα,συγγενείς,πάρκο,Yes,,Yes,
7,7,2025-09-01T22:00:00,102,1365,50,35,4,5,6,3,5,1,φρούτο,ποδήλατο,συνάδελφοι,γραφείο,,,,
8,8,2025-09-02T00:00:00,130,423,45,37,5,2,2,5,1,3,φρούτο,περπάτημα,γείτονες,γραφείο,Yes,,Yes,
9,9,2025-09-02T02:00:00,130,1249,49,62,2,1,5,5,6,1,ψωμί,περπάτημα,συγγενείς,γραφείο,Yes,,Yes,
10,10,2025-09-02T04:00:00,125,1632,45,48,2,4,6,6,6,2,γάλα,περπάτημα,γείτονες,γραφείο,Yes,,Yes,
11,11,2025-09-02T06:00:00,149,1156,42,65,5,2,3,7,2,6,γιαούρτι,περπάτημα,ξένοι,σπίτι,Yes,,Yes,
12,12,2025-09-02T08:00:00,92,436,49,43,5,3,6,6,1,2,γιαούρτι,περπάτημα,σύντροφος,γραφείο,Yes,,Yes,
13,13,2025-09-02T10:00:00,85,1109,61,50,7,4,5,2,4,4,κράκερ,κολύμπι,συνάδελφοι,καφετέρια,,,,
14,14,2025-09-02T12:00:00,146,1260,36,38,2,5,1,2,2,2,φρούτο,γκολφ,σύντροφος,σπίτι,,,,
15,15,2025-09-02T14:00:00,83,695,62,63,2,6,3,2,6,2,γάλα,ποδήλατο,σύντροφος,σπίτι,,,,
16,16,2025-09-02T16:00:00,117,1735,53,41,2,4,3,6,5,4,γιαούρτι,περπάτημα,συγγενείς,γραφείο,Yes,,Yes,
17,17,2025-09-02T18:00:00,131,1399,56,44,5,6,3,5,3,6,γιαούρτι,ποδήλατο,φίλοι,πάρκο,,,,
18,18,2025-09-02T20:00:00,144,1445,37,48,3,3,4,7,5,3,βρώμη,γιόγκα,γείτονες,καφετέρια,,Yes,,Yes
19,19,2025-09-02T22:00:00,100,970,39,60,3,5,5,6,3,5,κράκερ,ποδήλατο,ξένοι,σπίτι,,,,
